repo,license,commits,pr_ratio,issue_ref_ratio,stars,score,default_branch,size_kb,sampled_commits,pr_gate_pass,selection_status,exclude_reason
anthropics/skills,,,,,175427,,main,4763,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:none
binary-husky/gpt_academic,GPL-3.0,,,,71313,,master,72756,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:GPL-3.0
bregman-arie/devops-exercises,NOASSERTION,,,,84400,,master,8007,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
celery/celery,NOASSERTION,,,,28872,,main,37313,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
d2l-ai/d2l-zh,Apache-2.0,4116,,,80480,,master,316965,0,false,EXCLUDED,NO_RECENT_COMMITS
datawhalechina/hello-agents,NOASSERTION,,,,78034,,main,236258,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
deepfakes/faceswap,GPL-3.0,,,,57541,,master,205378,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:GPL-3.0
deepseek-ai/DeepSeek-V3,MIT,73,,,104424,,main,1768,0,false,EXCLUDED,COMMITS_BELOW_1000:73
donnemartin/system-design-primer,NOASSERTION,,,,369050,,master,11277,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
fighting41love/funNLP,,,,,82989,,master,174188,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:none
hacksider/Deep-Live-Cam,AGPL-3.0,,,,96579,,main,156221,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:AGPL-3.0
harry0703/MoneyPrinterTurbo,MIT,847,,,121985,,main,537185,0,false,EXCLUDED,COMMITS_BELOW_1000:847
jingyaogong/minimind,Apache-2.0,373,,,60292,,master,39424,0,false,EXCLUDED,COMMITS_BELOW_1000:373
josephmisiti/awesome-machine-learning,NOASSERTION,,,,74283,,master,2782,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
karpathy/autoresearch,,,,,95494,,master,530,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:none
karpathy/nanoGPT,MIT,210,,,62946,,master,981,0,false,EXCLUDED,COMMITS_BELOW_1000:210
karpathy/nanochat,MIT,441,,,57895,,master,2520,0,false,EXCLUDED,COMMITS_BELOW_1000:441
labmlai/annotated_deep_learning_paper_implementations,MIT,860,,,67404,,master,156370,0,false,EXCLUDED,COMMITS_BELOW_1000:860
meta-llama/llama,NOASSERTION,,,,59601,,main,1150,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
microsoft/autogen,CC-BY-4.0,,,,60900,,main,148692,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:CC-BY-4.0
microsoft/markitdown,MIT,383,,,182179,,main,4649,0,false,EXCLUDED,COMMITS_BELOW_1000:383
nextlevelbuilder/ui-ux-pro-max-skill,MIT,251,,,126413,,main,8162,0,false,EXCLUDED,COMMITS_BELOW_1000:251
nvbn/thefuck,MIT,1651,,,97790,,master,4043,0,false,EXCLUDED,NO_RECENT_COMMITS
odysseus-dev/odysseus,AGPL-3.0,,,,87071,,dev,28982,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:AGPL-3.0
open-webui/open-webui,NOASSERTION,,,,151474,,main,424196,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
openai/whisper,MIT,171,,,108796,,main,12797,0,false,EXCLUDED,COMMITS_BELOW_1000:171
opendatalab/MinerU,NOASSERTION,,,,79582,,master,185756,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
pathwaycom/pathway,NOASSERTION,,,,62312,,main,146343,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
practical-tutorials/project-based-learning,MIT,603,,,282786,,master,482,0,false,EXCLUDED,COMMITS_BELOW_1000:603
python/cpython,NOASSERTION,,,,76419,,main,872965,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
pytorch/pytorch,NOASSERTION,,,,102879,,main,1556421,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
sansan0/TrendRadar,GPL-3.0,,,,62149,,master,32478,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:GPL-3.0
shareAI-lab/learn-claude-code,MIT,233,,,76422,,main,6035,0,false,EXCLUDED,COMMITS_BELOW_1000:233
tensorflow/models,NOASSERTION,,,,77658,,master,660627,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
ultralytics/ultralytics,AGPL-3.0,,,,61451,,main,65045,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:AGPL-3.0
ultralytics/yolov5,AGPL-3.0,,,,57989,,master,18129,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:AGPL-3.0
usestrix/strix,Apache-2.0,801,,,61548,,main,13454,0,false,EXCLUDED,COMMITS_BELOW_1000:801
vinta/awesome-python,NOASSERTION,,,,319580,,master,6104,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:NOASSERTION
virattt/ai-hedge-fund,MIT,905,,,63315,,main,3931,0,false,EXCLUDED,COMMITS_BELOW_1000:905
xtekky/gpt4free,GPL-3.0,,,,66673,,main,203481,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:GPL-3.0
yt-dlp/yt-dlp,Unlicense,,,,189996,,master,64775,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:Unlicense
ytdl-org/youtube-dl,Unlicense,,,,141175,,master,65510,0,false,EXCLUDED,LICENSE_NOT_PERMISSIVE:Unlicense
zylon-ai/private-gpt,Apache-2.0,433,,,57502,,main,225879,0,false,EXCLUDED,COMMITS_BELOW_1000:433
